PO Number,Vendor Key,Product Key,Order Date,Expected Receipt Date,Actual Receipt Date,Order Quantity,Unit Cost,PO Status
8321,18,175,2025-07-13,2025-07-26,2025-07-26,30,668.21,Received
8322,18,175,2025-09-21,2025-10-04,2025-10-04,51,719.1,Received
8323,18,175,2025-10-12,2025-10-25,,28,702.87,In Transit
8324,16,176,2021-09-15,2021-10-01,2021-09-29,512,69.93,Received
8325,16,176,2021-09-30,2021-10-16,2021-10-16,481,72.27,Received
8326,16,176,2021-10-05,2021-10-21,2021-10-21,503,70.17,Received
8327,16,176,2021-10-07,2021-10-23,2021-10-23,487,66.45,Received
8328,16,176,2021-11-16,2021-12-02,2021-12-01,497,71.86,Received
8329,16,176,2022-01-18,2022-02-03,2022-02-02,483,69.11,Received
8330,16,176,2022-02-12,2022-02-28,2022-03-01,507,70.55,Received
8331,16,176,2022-03-18,2022-04-03,2022-04-03,497,69.31,Received
8332,16,176,2022-05-06,2022-05-22,2022-05-22,486,70.85,Received
8333,16,176,2022-05-19,2022-06-04,2022-06-05,503,71.52,Received
8334,16,176,2022-05-26,2022-06-11,2022-06-11,507,71.64,Received
8335,16,176,2022-05-31,2022-06-16,2022-06-14,489,67.66,Received
8336,16,176,2022-06-24,2022-07-10,2022-07-11,495,68.5,Received
8337,16,176,2022-06-25,2022-07-11,2022-07-11,507,69.51,Received
8338,16,176,2022-08-09,2022-08-25,2022-08-25,498,70.69,Received
8339,16,176,2022-08-18,2022-09-03,2022-09-03,498,67.77,Received
8340,16,176,2022-09-09,2022-09-25,2022-09-25,498,70.64,Received
8341,16,176,2022-10-27,2022-11-12,2022-11-12,494,71.07,Received
8342,16,176,2022-11-29,2022-12-15,2022-12-15,506,67.84,Received
8343,16,176,2023-01-03,2023-01-19,2023-01-14,494,67.08,Received
8344,16,176,2023-01-30,2023-02-15,2023-02-15,498,66.21,Received
8345,16,176,2023-03-10,2023-03-26,2023-03-27,493,67.52,Received
8346,16,176,2023-03-28,2023-04-13,2023-04-13,487,69.63,Received
8347,16,176,2023-04-14,2023-04-30,2023-04-29,507,71.89,Received
8348,16,176,2023-04-19,2023-05-05,2023-05-05,496,68.56,Received
8349,16,176,2023-06-19,2023-07-05,2023-07-05,496,69.67,Received
8350,16,176,2023-07-21,2023-08-06,2023-08-07,491,71.74,Received
8351,16,176,2023-08-06,2023-08-22,2023-08-22,504,65.86,Received
8352,16,176,2023-08-20,2023-09-05,2023-09-05,490,70.35,Received
8353,16,176,2023-10-11,2023-10-27,2023-10-19,496,66.59,Received
8354,16,176,2023-10-15,2023-10-31,2023-11-03,499,71.71,Received
8355,16,176,2023-12-17,2024-01-02,2024-01-02,512,66.98,Received
8356,16,176,2024-01-11,2024-01-27,2024-01-25,489,67.82,Received
8357,16,176,2024-01-17,2024-02-02,2024-02-02,486,69.79,Received
8358,16,176,2024-01-20,2024-02-05,2024-02-05,496,70.5,Received
8359,16,176,2024-02-14,2024-03-01,2024-02-26,492,72.18,Received
8360,16,176,2024-02-21,2024-03-08,2024-03-04,494,68.3,Received
8361,16,176,2024-03-13,2024-03-29,2024-03-30,498,72.16,Received
8362,16,176,2024-04-15,2024-05-01,2024-04-29,491,66.01,Received
8363,16,176,2024-06-12,2024-06-28,2024-06-28,505,66.23,Received
8364,16,176,2024-07-15,2024-07-31,2024-07-29,506,70.51,Received
8365,16,176,2024-07-24,2024-08-09,2024-08-11,488,69.57,Received
8366,16,176,2024-08-03,2024-08-19,2024-08-17,505,68.73,Received
8367,16,176,2024-08-06,2024-08-22,2024-08-21,501,71.61,Received
8368,16,176,2024-09-22,2024-10-08,2024-10-12,496,70.09,Received
8369,16,176,2024-10-16,2024-11-01,2024-11-03,502,69.77,Received
8370,16,176,2024-12-08,2024-12-24,2024-12-24,489,72.11,Received
8371,16,176,2024-12-24,2025-01-09,2025-01-06,501,71.17,Received
8372,16,176,2025-03-03,2025-03-19,2025-03-21,489,71.74,Received
8373,16,176,2025-04-14,2025-04-30,2025-04-28,499,66.16,Received
8374,16,176,2025-04-20,2025-05-06,2025-05-09,508,68.11,Received
8375,16,176,2025-04-22,2025-05-08,2025-05-08,503,70.85,Received
8376,16,176,2025-05-27,2025-06-12,2025-06-12,491,70.3,Received
8377,16,176,2025-06-15,2025-07-01,2025-06-28,500,67.73,Received
8378,16,176,2025-07-07,2025-07-23,2025-07-22,500,70.97,Received
8379,16,176,2025-07-08,2025-07-24,2025-07-24,499,71.39,Received
8380,16,176,2025-08-17,2025-09-02,2025-09-07,479,68.68,Received
8381,16,176,2025-08-19,2025-09-04,2025-09-05,495,68.11,Received
8382,16,176,2025-08-28,2025-09-13,2025-09-13,506,72.26,Received
8383,16,176,2025-09-28,2025-10-14,2025-10-14,492,70.29,Received
8384,4,177,2021-08-27,2021-09-12,2021-09-10,91,72.71,Received
8385,4,177,2021-10-30,2021-11-15,2021-11-14,92,69.41,Received
8386,4,177,2021-11-16,2021-12-02,2021-12-02,73,69.61,Received
8387,4,177,2021-12-17,2022-01-02,2022-01-06,83,74.77,Received
8388,4,177,2022-01-12,2022-01-28,2022-02-01,88,69.83,Received
8389,4,177,2022-01-19,2022-02-04,2022-02-09,83,75.05,Received
8390,4,177,2022-02-24,2022-03-12,2022-03-11,87,72.55,Received
8391,4,177,2022-02-26,2022-03-14,2022-03-13,98,72.51,Received
8392,4,177,2022-03-28,2022-04-13,2022-04-12,70,70.11,Received
8393,4,177,2022-04-02,2022-04-18,2022-04-21,84,72.24,Received
8394,4,177,2022-04-12,2022-04-28,2022-04-25,76,74.89,Received
8395,4,177,2022-04-27,2022-05-13,2022-05-13,83,72.47,Received
8396,4,177,2022-07-10,2022-07-26,2022-07-27,100,74.01,Received
8397,4,177,2022-07-11,2022-07-27,2022-07-28,84,75.61,Received
8398,4,177,2022-09-21,2022-10-07,2022-10-09,90,72.58,Received
8399,4,177,2022-09-23,2022-10-09,2022-10-12,76,69.26,Received
8400,4,177,2022-10-20,2022-11-05,2022-11-05,88,72.63,Received
8401,4,177,2022-10-23,2022-11-08,2022-11-06,83,69.88,Received
8402,4,177,2022-11-11,2022-11-27,2022-11-25,74,75.07,Received
8403,4,177,2022-11-21,2022-12-07,2022-12-09,83,72.84,Received
8404,4,177,2022-12-17,2023-01-02,2023-01-02,102,73.58,Received
8405,4,177,2022-12-31,2023-01-16,2023-01-14,79,69.41,Received
8406,4,177,2023-01-30,2023-02-15,2023-02-14,67,74.66,Received
8407,4,177,2023-02-16,2023-03-04,2023-03-08,84,73.79,Received
8408,4,177,2023-03-19,2023-04-04,2023-04-02,90,74.42,Received
8409,4,177,2023-03-20,2023-04-05,2023-04-05,77,69.33,Received
8410,4,177,2023-05-04,2023-05-20,2023-05-21,75,70.57,Received
8411,4,177,2023-05-11,2023-05-27,2023-05-23,93,70.73,Received
8412,4,177,2023-06-15,2023-07-01,2023-06-30,79,70.71,Received
8413,4,177,2023-07-27,2023-08-12,2023-08-07,86,69.96,Received
8414,4,177,2023-07-31,2023-08-16,2023-08-17,84,72.06,Received
8415,4,177,2023-08-14,2023-08-30,2023-08-28,87,74.35,Received
8416,4,177,2023-09-25,2023-10-11,2023-10-10,78,74.39,Received
8417,4,177,2023-10-28,2023-11-13,2023-11-11,87,74.93,Received
8418,4,177,2023-10-29,2023-11-14,2023-11-13,68,70.22,Received
8419,4,177,2023-11-25,2023-12-11,2023-12-11,80,76.17,Received
8420,4,177,2023-12-23,2024-01-08,2024-01-07,80,71.02,Received
8421,4,177,2023-12-27,2024-01-12,2024-01-12,85,74.9,Received
8422,4,177,2024-01-06,2024-01-22,2024-01-22,78,73.63,Received
8423,4,177,2024-01-12,2024-01-28,2024-01-26,87,73.61,Received
8424,4,177,2024-02-26,2024-03-13,2024-03-10,77,74.52,Received
8425,4,177,2024-04-06,2024-04-22,2024-04-22,92,72.52,Received
8426,4,177,2024-05-06,2024-05-22,2024-05-27,73,75.62,Received
8427,4,177,2024-07-19,2024-08-04,2024-08-06,85,70.89,Received
8428,4,177,2024-08-14,2024-08-30,2024-09-02,93,69.19,Received
8429,4,177,2024-08-21,2024-09-06,2024-09-07,88,71.08,Received
8430,4,177,2024-09-17,2024-10-03,2024-10-03,70,70.4,Received
8431,4,177,2024-09-25,2024-10-11,2024-10-10,74,69.68,Received
8432,4,177,2024-09-30,2024-10-16,2024-10-15,82,76.15,Received
8433,4,177,2024-10-02,2024-10-18,2024-10-18,68,71.13,Received
8434,4,177,2024-12-06,2024-12-22,2024-12-24,75,69.22,Received
8435,4,177,2025-01-28,2025-02-13,2025-02-14,89,74.97,Received
8436,4,177,2025-02-14,2025-03-02,2025-03-01,79,69.21,Received
8437,4,177,2025-07-11,2025-07-27,2025-07-27,86,70.5,Received
8438,4,177,2025-07-27,2025-08-12,2025-08-12,57,75.63,Received
8439,4,177,2025-08-26,2025-09-11,2025-09-12,94,74.71,Received
8440,4,177,2025-09-03,2025-09-19,2025-09-22,79,75.38,Received
8441,4,177,2025-09-10,2025-09-26,2025-09-27,71,72.39,Received
8442,4,177,2025-09-23,2025-10-09,2025-10-15,98,70.95,Received
8443,4,177,2025-10-14,2025-10-30,,75,70.24,In Transit
8444,6,178,2021-08-30,2021-09-14,2021-09-17,212,93.34,Received
8445,6,178,2021-09-08,2021-09-23,2021-09-24,218,98.76,Received
8446,6,178,2021-09-29,2021-10-14,2021-10-14,213,100.52,Received
8447,6,178,2021-09-29,2021-10-14,2021-10-15,227,97.92,Received
8448,6,178,2021-10-27,2021-11-11,2021-11-09,214,99.44,Received
8449,6,178,2021-11-07,2021-11-22,2021-11-20,226,99.71,Received
8450,6,178,2021-11-10,2021-11-25,2021-11-29,230,93.79,Received
8451,6,178,2021-12-02,2021-12-17,2021-12-17,233,96.55,Received
8452,6,178,2022-01-11,2022-01-26,2022-01-26,232,100.47,Received
8453,6,178,2022-01-13,2022-01-28,2022-01-29,229,97.16,Received
8454,6,178,2022-01-16,2022-01-31,2022-01-29,231,93.4,Received
8455,6,178,2022-02-18,2022-03-05,2022-03-11,219,99.89,Received
8456,6,178,2022-02-25,2022-03-12,2022-03-11,238,102.07,Received
8457,6,178,2022-08-05,2022-08-20,2022-08-19,221,101.87,Received
8458,6,178,2022-11-13,2022-11-28,2022-12-01,219,100.61,Received
8459,6,178,2022-12-16,2022-12-31,2023-01-04,231,97.89,Received
8460,6,178,2022-12-22,2023-01-06,2023-01-05,219,100.15,Received
8461,6,178,2023-01-22,2023-02-06,2023-02-10,233,98.96,Received
8462,6,178,2023-02-13,2023-02-28,2023-02-28,231,102.3,Received
8463,6,178,2023-03-24,2023-04-08,2023-04-08,229,95.04,Received
8464,6,178,2023-04-07,2023-04-22,2023-04-22,222,96.39,Received
8465,6,178,2023-04-08,2023-04-23,2023-04-23,217,94.91,Received
8466,6,178,2023-05-01,2023-05-16,2023-05-16,213,94.49,Received
8467,6,178,2023-05-12,2023-05-27,2023-05-27,220,99.66,Received
8468,6,178,2023-05-19,2023-06-03,2023-06-03,209,94.28,Received
8469,6,178,2023-06-15,2023-06-30,2023-07-02,222,93.75,Received
8470,6,178,2023-07-09,2023-07-24,2023-07-23,234,101.68,Received
8471,6,178,2023-07-29,2023-08-13,2023-08-11,226,97.37,Received
8472,6,178,2023-08-10,2023-08-25,2023-08-22,231,93.72,Received
8473,6,178,2023-09-01,2023-09-16,2023-09-09,230,94.21,Received
8474,6,178,2023-09-05,2023-09-20,2023-09-21,221,93.05,Received
8475,6,178,2023-10-01,2023-10-16,2023-10-15,226,96.73,Received
8476,6,178,2023-10-08,2023-10-23,2023-10-23,233,99.31,Received
8477,6,178,2023-10-21,2023-11-05,2023-11-07,223,93.65,Received
8478,6,178,2023-11-26,2023-12-11,2023-12-10,228,100.78,Received
8479,6,178,2023-12-12,2023-12-27,2023-12-24,231,96.17,Received
8480,6,178,2023-12-18,2024-01-02,2024-01-03,221,102.49,Received
8481,6,178,2023-12-30,2024-01-14,2024-01-17,224,95.77,Received
8482,6,178,2024-01-10,2024-01-25,2024-01-25,215,100.26,Received
8483,6,178,2024-02-01,2024-02-16,2024-02-16,216,98.86,Received
8484,6,178,2024-04-24,2024-05-09,2024-05-08,224,99.67,Received
8485,6,178,2024-04-25,2024-05-10,2024-05-10,234,92.86,Received
8486,6,178,2024-04-28,2024-05-13,2024-05-13,228,100.42,Received
8487,6,178,2024-05-09,2024-05-24,2024-05-19,219,94.01,Received
8488,6,178,2024-06-22,2024-07-07,2024-07-08,243,97.78,Received
8489,6,178,2024-07-25,2024-08-09,2024-08-07,238,97.12,Received
8490,6,178,2024-08-19,2024-09-03,2024-09-04,227,97.41,Received
8491,6,178,2024-08-19,2024-09-03,2024-09-05,230,100.51,Received
8492,6,178,2024-09-08,2024-09-23,2024-09-21,223,98.62,Received
8493,6,178,2024-11-29,2024-12-14,2024-12-17,232,94.9,Received
8494,6,178,2024-12-17,2025-01-01,2025-01-02,226,96.16,Received
8495,6,178,2025-01-05,2025-01-20,2025-01-19,226,98.86,Received
8496,6,178,2025-01-06,2025-01-21,2025-01-21,226,95.48,Received
8497,6,178,2025-02-21,2025-03-08,2025-03-07,213,100.78,Received
8498,6,178,2025-03-08,2025-03-23,2025-03-21,214,101.79,Received
8499,6,178,2025-03-14,2025-03-29,2025-03-30,225,95.21,Received
8500,6,178,2025-05-06,2025-05-21,2025-05-20,213,99.06,Received
8501,6,178,2025-05-26,2025-06-10,2025-06-08,227,94.48,Received
8502,6,178,2025-06-05,2025-06-20,2025-06-16,219,93.15,Received
8503,6,178,2025-08-10,2025-08-25,2025-08-24,216,98.63,Received
8504,16,179,2021-09-18,2021-10-04,2021-10-05,35,94.23,Received
8505,16,179,2021-10-07,2021-10-23,2021-10-26,57,91.81,Received
8506,16,179,2021-11-06,2021-11-22,2021-11-22,54,94.7,Received
8507,16,179,2021-11-11,2021-11-27,2021-11-26,61,90.11,Received
8508,16,179,2021-11-24,2021-12-10,2021-12-06,48,93.52,Received
8509,16,179,2021-12-18,2022-01-03,2022-01-03,62,95.45,Received
8510,16,179,2022-01-01,2022-01-17,2022-01-19,28,90.76,Received
8511,16,179,2022-02-12,2022-02-28,2022-02-27,55,90.98,Received
8512,16,179,2022-02-13,2022-03-01,2022-03-02,38,97.14,Received
8513,16,179,2022-03-01,2022-03-17,2022-03-18,51,91.42,Received
8514,16,179,2022-03-07,2022-03-23,2022-03-24,52,91.2,Received
8515,16,179,2022-05-09,2022-05-25,2022-05-25,58,93.14,Received
8516,16,179,2022-05-28,2022-06-13,2022-06-14,56,90.17,Received
8517,16,179,2022-06-09,2022-06-25,2022-06-22,44,93.0,Received
8518,16,179,2022-08-05,2022-08-21,2022-08-16,52,91.87,Received
8519,16,179,2022-08-18,2022-09-03,2022-08-28,43,90.18,Received
8520,16,179,2022-08-28,2022-09-13,2022-09-13,37,95.9,Received
8521,16,179,2022-09-01,2022-09-17,2022-09-17,65,89.64,Received
8522,16,179,2022-10-21,2022-11-06,2022-11-05,40,94.07,Received
8523,16,179,2022-12-30,2023-01-15,2023-01-14,46,88.69,Received
8524,16,179,2023-05-01,2023-05-17,2023-05-18,50,97.03,Received
8525,16,179,2023-05-03,2023-05-19,2023-05-16,44,95.72,Received
8526,16,179,2023-05-19,2023-06-04,2023-05-30,45,93.2,Received
8527,16,179,2023-07-02,2023-07-18,2023-07-17,40,93.18,Received
8528,16,179,2023-07-13,2023-07-29,2023-07-28,57,95.78,Received
8529,16,179,2023-09-22,2023-10-08,2023-10-08,42,93.22,Received
8530,16,179,2023-09-27,2023-10-13,2023-10-15,47,96.62,Received
8531,16,179,2023-11-16,2023-12-02,2023-12-02,36,96.39,Received
8532,16,179,2023-11-18,2023-12-04,2023-12-04,41,92.75,Received
8533,16,179,2023-11-19,2023-12-05,2023-12-05,44,95.45,Received
8534,16,179,2023-11-21,2023-12-07,2023-12-07,59,95.94,Received
8535,16,179,2023-12-07,2023-12-23,2023-12-19,43,92.03,Received
8536,16,179,2023-12-14,2023-12-30,2024-01-01,53,89.84,Received
8537,16,179,2023-12-15,2023-12-31,2024-01-02,62,91.65,Received
8538,16,179,2023-12-16,2024-01-01,2024-01-01,40,96.6,Received
8539,16,179,2024-01-08,2024-01-24,2024-01-24,56,90.63,Received
8540,16,179,2024-02-06,2024-02-22,2024-02-22,57,93.76,Received
8541,16,179,2024-03-12,2024-03-28,2024-03-29,43,94.65,Received
8542,16,179,2024-04-04,2024-04-20,2024-04-17,46,90.76,Received
8543,16,179,2024-04-04,2024-04-20,2024-04-15,44,95.51,Received
8544,16,179,2024-07-09,2024-07-25,2024-07-26,45,93.75,Received
8545,16,179,2024-09-03,2024-09-19,2024-09-24,52,88.99,Received
8546,16,179,2024-10-24,2024-11-09,2024-11-13,53,95.54,Received
8547,16,179,2024-11-13,2024-11-29,2024-11-29,49,92.39,Received
8548,16,179,2025-02-07,2025-02-23,2025-02-23,56,93.7,Received
8549,16,179,2025-02-28,2025-03-16,2025-03-14,41,96.39,Received
8550,16,179,2025-03-24,2025-04-09,2025-04-12,44,95.43,Received
8551,16,179,2025-04-02,2025-04-18,2025-04-15,39,95.96,Received
8552,16,179,2025-04-04,2025-04-20,2025-04-16,42,93.59,Received
8553,16,179,2025-04-06,2025-04-22,2025-04-22,47,91.98,Received
8554,16,179,2025-04-26,2025-05-12,2025-05-12,51,88.48,Received
8555,16,179,2025-06-10,2025-06-26,2025-06-26,54,96.32,Received
8556,16,179,2025-06-12,2025-06-28,2025-06-28,55,95.32,Received
8557,16,179,2025-07-08,2025-07-24,2025-07-24,58,89.07,Received
8558,16,179,2025-07-28,2025-08-13,2025-08-14,50,94.37,Received
8559,16,179,2025-08-07,2025-08-23,2025-08-20,35,96.74,Received
8560,16,179,2025-08-14,2025-08-30,2025-09-03,49,93.62,Received
8561,16,179,2025-09-11,2025-09-27,2025-09-27,32,90.24,Received
8562,16,179,2025-09-24,2025-10-10,2025-10-14,47,95.38,Received
8563,16,179,2025-10-01,2025-10-17,2025-10-14,42,92.35,Received
8564,18,180,2021-09-02,2021-09-15,2021-09-16,57,76.21,Received
8565,18,180,2022-03-12,2022-03-25,2022-03-22,48,72.04,Received
8566,18,180,2022-05-16,2022-05-29,2022-05-27,53,71.48,Received
8567,18,180,2022-05-28,2022-06-10,2022-06-11,52,73.0,Received
8568,18,180,2022-06-04,2022-06-17,2022-06-17,32,69.6,Received
8569,18,180,2022-06-17,2022-06-30,2022-06-30,44,74.5,Received
8570,18,180,2022-06-29,2022-07-12,2022-07-13,51,75.04,Received
8571,18,180,2022-07-21,2022-08-03,2022-08-03,53,69.34,Received
8572,18,180,2022-07-31,2022-08-13,2022-08-13,43,74.2,Received
8573,18,180,2022-08-15,2022-08-28,2022-08-27,51,69.98,Received
8574,18,180,2022-08-17,2022-08-30,2022-08-27,39,71.25,Received
8575,18,180,2022-08-26,2022-09-08,2022-09-07,52,69.21,Received
8576,18,180,2022-10-17,2022-10-30,2022-10-25,48,73.77,Received
8577,18,180,2022-10-18,2022-10-31,2022-11-01,36,73.75,Received
8578,18,180,2022-11-14,2022-11-27,2022-11-30,48,72.55,Received
8579,18,180,2022-11-21,2022-12-04,2022-12-05,38,75.07,Received
8580,18,180,2022-11-23,2022-12-06,2022-12-02,37,71.54,Received
8581,18,180,2022-12-13,2022-12-26,2022-12-23,31,69.6,Received
8582,18,180,2023-01-14,2023-01-27,2023-01-29,49,74.29,Received
8583,18,180,2023-03-14,2023-03-27,2023-03-27,48,71.72,Received
8584,18,180,2023-03-24,2023-04-06,2023-04-07,48,72.17,Received
8585,18,180,2023-04-17,2023-04-30,2023-05-02,43,74.14,Received
8586,18,180,2023-06-07,2023-06-20,2023-06-20,43,72.88,Received
8587,18,180,2023-06-08,2023-06-21,2023-06-21,43,70.1,Received
8588,18,180,2023-07-22,2023-08-04,2023-08-03,56,72.52,Received
8589,18,180,2023-08-11,2023-08-24,2023-08-17,59,75.89,Received
8590,18,180,2023-08-26,2023-09-08,2023-09-08,48,71.06,Received
8591,18,180,2023-09-05,2023-09-18,2023-09-19,53,71.58,Received
8592,18,180,2023-09-22,2023-10-05,2023-10-05,56,75.12,Received
8593,18,180,2023-10-24,2023-11-06,2023-11-06,41,75.64,Received
8594,18,180,2023-11-27,2023-12-10,2023-12-14,54,74.27,Received
8595,18,180,2023-12-26,2024-01-08,2024-01-08,47,69.99,Received
8596,18,180,2024-01-13,2024-01-26,2024-01-23,52,73.56,Received
8597,18,180,2024-03-12,2024-03-25,2024-03-26,48,72.15,Received
8598,18,180,2024-05-21,2024-06-03,2024-06-04,59,74.33,Received
8599,18,180,2024-05-27,2024-06-09,2024-06-12,58,70.04,Received
8600,18,180,2024-06-28,2024-07-11,2024-07-09,49,69.64,Received
8601,18,180,2024-07-26,2024-08-08,2024-08-08,61,72.82,Received
8602,18,180,2024-07-27,2024-08-09,2024-08-11,49,74.89,Received
8603,18,180,2024-08-08,2024-08-21,2024-08-16,62,73.69,Received
8604,18,180,2024-09-05,2024-09-18,2024-09-18,53,69.73,Received
8605,18,180,2024-09-13,2024-09-26,2024-09-26,44,69.54,Received
8606,18,180,2024-10-22,2024-11-04,2024-11-02,63,76.14,Received
8607,18,180,2024-10-24,2024-11-06,2024-11-06,63,72.53,Received
8608,18,180,2024-10-29,2024-11-11,2024-11-08,36,72.98,Received
8609,18,180,2024-11-12,2024-11-25,2024-11-25,56,72.74,Received
8610,18,180,2024-12-05,2024-12-18,2024-12-13,36,73.25,Received
8611,18,180,2025-01-09,2025-01-22,2025-01-23,41,70.28,Received
8612,18,180,2025-01-11,2025-01-24,2025-01-25,55,72.12,Received
8613,18,180,2025-01-20,2025-02-02,2025-02-01,34,74.78,Received
8614,18,180,2025-01-31,2025-02-13,2025-02-10,45,69.5,Received
8615,18,180,2025-02-26,2025-03-11,2025-03-08,50,69.46,Received
8616,18,180,2025-03-13,2025-03-26,2025-03-26,67,69.14,Received
8617,18,180,2025-04-15,2025-04-28,2025-04-28,51,73.25,Received
8618,18,180,2025-04-29,2025-05-12,2025-05-12,43,75.04,Received
8619,18,180,2025-05-17,2025-05-30,2025-05-29,42,75.0,Received
8620,18,180,2025-06-12,2025-06-25,2025-06-24,51,74.07,Received
8621,18,180,2025-07-15,2025-07-28,2025-07-27,50,69.12,Received
8622,18,180,2025-07-27,2025-08-09,2025-08-09,55,71.87,Received
8623,18,180,2025-08-10,2025-08-23,2025-08-21,42,72.02,Received
8624,16,181,2021-09-17,2021-10-03,2021-09-30,43,348.35,Received
8625,16,181,2021-10-21,2021-11-06,2021-11-04,58,349.63,Received
8626,16,181,2021-10-23,2021-11-08,2021-11-08,58,348.55,Received
8627,16,181,2021-11-04,2021-11-20,2021-11-21,45,346.99,Received
8628,16,181,2021-12-13,2021-12-29,2021-12-24,40,379.01,Received
8629,16,181,2022-01-01,2022-01-17,2022-01-20,63,376.13,Received
8630,16,181,2022-01-17,2022-02-02,2022-02-02,52,350.92,Received
8631,16,181,2022-02-14,2022-03-02,2022-03-02,54,382.26,Received
8632,16,181,2022-02-15,2022-03-03,2022-03-04,57,379.33,Received
8633,16,181,2022-02-15,2022-03-03,2022-03-03,59,362.47,Received
8634,16,181,2022-05-28,2022-06-13,2022-06-14,54,377.22,Received
8635,16,181,2022-06-01,2022-06-17,2022-06-21,55,354.49,Received
8636,16,181,2022-06-10,2022-06-26,2022-06-27,53,354.98,Received
8637,16,181,2022-09-06,2022-09-22,2022-09-21,43,357.54,Received
8638,16,181,2022-09-24,2022-10-10,2022-10-10,65,372.95,Received
8639,16,181,2022-09-29,2022-10-15,2022-10-13,55,354.43,Received
8640,16,181,2022-10-24,2022-11-09,2022-11-09,63,364.7,Received
8641,16,181,2022-10-28,2022-11-13,2022-11-13,51,378.13,Received
8642,16,181,2022-11-11,2022-11-27,2022-11-27,60,382.75,Received
8643,16,181,2022-12-03,2022-12-19,2022-12-21,51,382.73,Received
8644,16,181,2023-01-07,2023-01-23,2023-01-22,55,350.48,Received
8645,16,181,2023-02-19,2023-03-07,2023-03-07,49,379.01,Received
8646,16,181,2023-04-04,2023-04-20,2023-04-20,51,380.0,Received
8647,16,181,2023-06-10,2023-06-26,2023-06-26,53,378.14,Received
8648,16,181,2023-06-22,2023-07-08,2023-07-10,48,353.14,Received
8649,16,181,2023-07-18,2023-08-03,2023-08-03,58,367.67,Received
8650,16,181,2023-07-19,2023-08-04,2023-08-05,48,356.59,Received
8651,16,181,2023-08-20,2023-09-05,2023-09-05,59,353.96,Received
8652,16,181,2023-09-26,2023-10-12,2023-10-13,58,358.59,Received
8653,16,181,2023-09-27,2023-10-13,2023-10-13,45,378.54,Received
8654,16,181,2023-10-02,2023-10-18,2023-10-18,52,350.22,Received
8655,16,181,2023-10-03,2023-10-19,2023-10-23,65,350.34,Received
8656,16,181,2023-10-08,2023-10-24,2023-10-19,61,381.24,Received
8657,16,181,2023-10-10,2023-10-26,2023-10-26,55,356.95,Received
8658,16,181,2023-10-13,2023-10-29,2023-10-28,51,361.29,Received
8659,16,181,2023-11-10,2023-11-26,2023-11-26,50,371.17,Received
8660,16,181,2023-11-30,2023-12-16,2023-12-16,59,365.06,Received
8661,16,181,2023-12-02,2023-12-18,2023-12-18,44,371.19,Received
8662,16,181,2024-01-03,2024-01-19,2024-01-19,50,353.18,Received
8663,16,181,2024-02-09,2024-02-25,2024-02-21,48,363.34,Received
8664,16,181,2024-03-02,2024-03-18,2024-03-17,59,366.9,Received
8665,16,181,2024-04-13,2024-04-29,2024-04-29,48,377.65,Received
8666,16,181,2024-05-12,2024-05-28,2024-05-28,40,349.17,Received
8667,16,181,2024-06-10,2024-06-26,2024-06-26,50,381.84,Received
8668,16,181,2024-07-05,2024-07-21,2024-07-23,42,376.13,Received
8669,16,181,2024-11-04,2024-11-20,2024-11-16,61,349.06,Received
8670,16,181,2024-11-10,2024-11-26,2024-11-19,53,350.42,Received
8671,16,181,2024-11-20,2024-12-06,2024-12-01,52,379.08,Received
8672,16,181,2025-02-07,2025-02-23,2025-02-24,62,382.5,Received
8673,16,181,2025-03-04,2025-03-20,2025-03-20,57,371.85,Received
8674,16,181,2025-03-07,2025-03-23,2025-03-24,59,379.34,Received
8675,16,181,2025-03-14,2025-03-30,2025-04-01,55,379.94,Received
8676,16,181,2025-03-30,2025-04-15,2025-04-15,56,372.98,Received
8677,16,181,2025-05-18,2025-06-03,2025-06-02,45,368.4,Received
8678,16,181,2025-05-25,2025-06-10,2025-06-10,42,375.13,Received
8679,16,181,2025-06-17,2025-07-03,2025-07-03,53,350.62,Received
8680,16,181,2025-06-25,2025-07-11,2025-07-08,42,373.64,Received
8681,16,181,2025-08-06,2025-08-22,2025-08-22,57,355.37,Received
8682,16,181,2025-08-22,2025-09-07,2025-09-07,43,368.74,Received
8683,16,181,2025-09-15,2025-10-01,2025-09-27,67,347.28,Received
8684,18,182,2021-11-03,2021-11-16,2021-11-19,176,216.68,Received
8685,18,182,2021-12-13,2021-12-26,2021-12-26,158,202.81,Received
8686,18,182,2021-12-14,2021-12-27,2021-12-27,178,212.23,Received
8687,18,182,2022-01-23,2022-02-05,2022-02-03,178,202.32,Received
8688,18,182,2022-02-09,2022-02-22,2022-02-24,174,211.75,Received
8689,18,182,2022-02-18,2022-03-03,2022-03-02,170,206.93,Received
8690,18,182,2022-03-08,2022-03-21,2022-03-25,180,216.08,Received
8691,18,182,2022-03-25,2022-04-07,2022-04-08,163,211.33,Received
8692,18,182,2022-04-02,2022-04-15,2022-04-15,165,203.29,Received
8693,18,182,2022-04-24,2022-05-07,2022-05-05,167,204.13,Received
8694,18,182,2022-04-29,2022-05-12,2022-05-11,170,209.08,Received
8695,18,182,2022-05-15,2022-05-28,2022-05-28,178,213.59,Received
8696,18,182,2022-07-27,2022-08-09,2022-08-12,175,218.04,Received
