Date Key,Day of Week Name,Day of Week Number,Day of Month,Day of Year,Week Start Date,Is Weekend,Calendar Year,Calendar Month,Calendar Month Name,Calendar Quarter,Fiscal Year,Fiscal Quarter,Fiscal Period,Fiscal Period Name,Fiscal Week of Year,Fiscal Week of Period,Fiscal Year Day Number,Is 53rd Week,Fiscal Season,Fiscal Year Start Date,Fiscal Year End Date,Fiscal Quarter Start Date,Fiscal Quarter End Date,Fiscal Period Start Date,Fiscal Period End Date,Fiscal Season Start Date,Fiscal Season End Date,Fiscal Quarter Day Number,Fiscal Period Day Number,Fiscal Season Day Number,Prior Year Date
2021-10-29,Friday,6,29,302,2021-10-24,N,2021,10,October,4,2021,4,10,P10,43,4,300,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-03,2021-10-30,2021-07-04,2022-01-01,27,27,118,
2021-10-30,Saturday,7,30,303,2021-10-24,Y,2021,10,October,4,2021,4,10,P10,43,4,301,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-03,2021-10-30,2021-07-04,2022-01-01,28,28,119,
2021-10-31,Sunday,1,31,304,2021-10-31,Y,2021,10,October,4,2021,4,11,P11,44,1,302,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,29,1,120,
2021-11-01,Monday,2,1,305,2021-10-31,N,2021,11,November,4,2021,4,11,P11,44,1,303,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,30,2,121,
2021-11-02,Tuesday,3,2,306,2021-10-31,N,2021,11,November,4,2021,4,11,P11,44,1,304,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,31,3,122,
2021-11-03,Wednesday,4,3,307,2021-10-31,N,2021,11,November,4,2021,4,11,P11,44,1,305,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,32,4,123,
2021-11-04,Thursday,5,4,308,2021-10-31,N,2021,11,November,4,2021,4,11,P11,44,1,306,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,33,5,124,
2021-11-05,Friday,6,5,309,2021-10-31,N,2021,11,November,4,2021,4,11,P11,44,1,307,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,34,6,125,
2021-11-06,Saturday,7,6,310,2021-10-31,Y,2021,11,November,4,2021,4,11,P11,44,1,308,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,35,7,126,
2021-11-07,Sunday,1,7,311,2021-11-07,Y,2021,11,November,4,2021,4,11,P11,45,2,309,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,36,8,127,
2021-11-08,Monday,2,8,312,2021-11-07,N,2021,11,November,4,2021,4,11,P11,45,2,310,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,37,9,128,
2021-11-09,Tuesday,3,9,313,2021-11-07,N,2021,11,November,4,2021,4,11,P11,45,2,311,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,38,10,129,
2021-11-10,Wednesday,4,10,314,2021-11-07,N,2021,11,November,4,2021,4,11,P11,45,2,312,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,39,11,130,
2021-11-11,Thursday,5,11,315,2021-11-07,N,2021,11,November,4,2021,4,11,P11,45,2,313,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,40,12,131,
2021-11-12,Friday,6,12,316,2021-11-07,N,2021,11,November,4,2021,4,11,P11,45,2,314,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,41,13,132,
2021-11-13,Saturday,7,13,317,2021-11-07,Y,2021,11,November,4,2021,4,11,P11,45,2,315,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,42,14,133,
2021-11-14,Sunday,1,14,318,2021-11-14,Y,2021,11,November,4,2021,4,11,P11,46,3,316,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,43,15,134,
2021-11-15,Monday,2,15,319,2021-11-14,N,2021,11,November,4,2021,4,11,P11,46,3,317,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,44,16,135,
2021-11-16,Tuesday,3,16,320,2021-11-14,N,2021,11,November,4,2021,4,11,P11,46,3,318,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,45,17,136,
2021-11-17,Wednesday,4,17,321,2021-11-14,N,2021,11,November,4,2021,4,11,P11,46,3,319,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,46,18,137,
2021-11-18,Thursday,5,18,322,2021-11-14,N,2021,11,November,4,2021,4,11,P11,46,3,320,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,47,19,138,
2021-11-19,Friday,6,19,323,2021-11-14,N,2021,11,November,4,2021,4,11,P11,46,3,321,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,48,20,139,
2021-11-20,Saturday,7,20,324,2021-11-14,Y,2021,11,November,4,2021,4,11,P11,46,3,322,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,49,21,140,
2021-11-21,Sunday,1,21,325,2021-11-21,Y,2021,11,November,4,2021,4,11,P11,47,4,323,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,50,22,141,
2021-11-22,Monday,2,22,326,2021-11-21,N,2021,11,November,4,2021,4,11,P11,47,4,324,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,51,23,142,
2021-11-23,Tuesday,3,23,327,2021-11-21,N,2021,11,November,4,2021,4,11,P11,47,4,325,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,52,24,143,
2021-11-24,Wednesday,4,24,328,2021-11-21,N,2021,11,November,4,2021,4,11,P11,47,4,326,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,53,25,144,
2021-11-25,Thursday,5,25,329,2021-11-21,N,2021,11,November,4,2021,4,11,P11,47,4,327,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,54,26,145,
2021-11-26,Friday,6,26,330,2021-11-21,N,2021,11,November,4,2021,4,11,P11,47,4,328,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,55,27,146,
2021-11-27,Saturday,7,27,331,2021-11-21,Y,2021,11,November,4,2021,4,11,P11,47,4,329,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,56,28,147,
2021-11-28,Sunday,1,28,332,2021-11-28,Y,2021,11,November,4,2021,4,11,P11,48,5,330,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,57,29,148,
2021-11-29,Monday,2,29,333,2021-11-28,N,2021,11,November,4,2021,4,11,P11,48,5,331,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,58,30,149,
2021-11-30,Tuesday,3,30,334,2021-11-28,N,2021,11,November,4,2021,4,11,P11,48,5,332,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,59,31,150,
2021-12-01,Wednesday,4,1,335,2021-11-28,N,2021,12,December,4,2021,4,11,P11,48,5,333,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,60,32,151,
2021-12-02,Thursday,5,2,336,2021-11-28,N,2021,12,December,4,2021,4,11,P11,48,5,334,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,61,33,152,
2021-12-03,Friday,6,3,337,2021-11-28,N,2021,12,December,4,2021,4,11,P11,48,5,335,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,62,34,153,
2021-12-04,Saturday,7,4,338,2021-11-28,Y,2021,12,December,4,2021,4,11,P11,48,5,336,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-10-31,2021-12-04,2021-07-04,2022-01-01,63,35,154,
2021-12-05,Sunday,1,5,339,2021-12-05,Y,2021,12,December,4,2021,4,12,P12,49,1,337,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,64,1,155,
2021-12-06,Monday,2,6,340,2021-12-05,N,2021,12,December,4,2021,4,12,P12,49,1,338,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,65,2,156,
2021-12-07,Tuesday,3,7,341,2021-12-05,N,2021,12,December,4,2021,4,12,P12,49,1,339,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,66,3,157,
2021-12-08,Wednesday,4,8,342,2021-12-05,N,2021,12,December,4,2021,4,12,P12,49,1,340,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,67,4,158,
2021-12-09,Thursday,5,9,343,2021-12-05,N,2021,12,December,4,2021,4,12,P12,49,1,341,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,68,5,159,
2021-12-10,Friday,6,10,344,2021-12-05,N,2021,12,December,4,2021,4,12,P12,49,1,342,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,69,6,160,
2021-12-11,Saturday,7,11,345,2021-12-05,Y,2021,12,December,4,2021,4,12,P12,49,1,343,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,70,7,161,
2021-12-12,Sunday,1,12,346,2021-12-12,Y,2021,12,December,4,2021,4,12,P12,50,2,344,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,71,8,162,
2021-12-13,Monday,2,13,347,2021-12-12,N,2021,12,December,4,2021,4,12,P12,50,2,345,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,72,9,163,
2021-12-14,Tuesday,3,14,348,2021-12-12,N,2021,12,December,4,2021,4,12,P12,50,2,346,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,73,10,164,
2021-12-15,Wednesday,4,15,349,2021-12-12,N,2021,12,December,4,2021,4,12,P12,50,2,347,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,74,11,165,
2021-12-16,Thursday,5,16,350,2021-12-12,N,2021,12,December,4,2021,4,12,P12,50,2,348,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,75,12,166,
2021-12-17,Friday,6,17,351,2021-12-12,N,2021,12,December,4,2021,4,12,P12,50,2,349,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,76,13,167,
2021-12-18,Saturday,7,18,352,2021-12-12,Y,2021,12,December,4,2021,4,12,P12,50,2,350,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,77,14,168,
2021-12-19,Sunday,1,19,353,2021-12-19,Y,2021,12,December,4,2021,4,12,P12,51,3,351,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,78,15,169,
2021-12-20,Monday,2,20,354,2021-12-19,N,2021,12,December,4,2021,4,12,P12,51,3,352,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,79,16,170,
2021-12-21,Tuesday,3,21,355,2021-12-19,N,2021,12,December,4,2021,4,12,P12,51,3,353,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,80,17,171,
2021-12-22,Wednesday,4,22,356,2021-12-19,N,2021,12,December,4,2021,4,12,P12,51,3,354,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,81,18,172,
2021-12-23,Thursday,5,23,357,2021-12-19,N,2021,12,December,4,2021,4,12,P12,51,3,355,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,82,19,173,
2021-12-24,Friday,6,24,358,2021-12-19,N,2021,12,December,4,2021,4,12,P12,51,3,356,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,83,20,174,
2021-12-25,Saturday,7,25,359,2021-12-19,Y,2021,12,December,4,2021,4,12,P12,51,3,357,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,84,21,175,
2021-12-26,Sunday,1,26,360,2021-12-26,Y,2021,12,December,4,2021,4,12,P12,52,4,358,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,85,22,176,
2021-12-27,Monday,2,27,361,2021-12-26,N,2021,12,December,4,2021,4,12,P12,52,4,359,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,86,23,177,
2021-12-28,Tuesday,3,28,362,2021-12-26,N,2021,12,December,4,2021,4,12,P12,52,4,360,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,87,24,178,
2021-12-29,Wednesday,4,29,363,2021-12-26,N,2021,12,December,4,2021,4,12,P12,52,4,361,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,88,25,179,
2021-12-30,Thursday,5,30,364,2021-12-26,N,2021,12,December,4,2021,4,12,P12,52,4,362,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,89,26,180,
2021-12-31,Friday,6,31,365,2021-12-26,N,2021,12,December,4,2021,4,12,P12,52,4,363,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,90,27,181,
2022-01-01,Saturday,7,1,1,2021-12-26,Y,2022,1,January,1,2021,4,12,P12,52,4,364,N,H2,2021-01-03,2022-01-01,2021-10-03,2022-01-01,2021-12-05,2022-01-01,2021-07-04,2022-01-01,91,28,182,
2022-01-02,Sunday,1,2,2,2022-01-02,Y,2022,1,January,1,2022,1,1,P01,1,1,1,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,1,1,1,2021-01-03
2022-01-03,Monday,2,3,3,2022-01-02,N,2022,1,January,1,2022,1,1,P01,1,1,2,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,2,2,2,2021-01-04
2022-01-04,Tuesday,3,4,4,2022-01-02,N,2022,1,January,1,2022,1,1,P01,1,1,3,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,3,3,3,2021-01-05
2022-01-05,Wednesday,4,5,5,2022-01-02,N,2022,1,January,1,2022,1,1,P01,1,1,4,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,4,4,4,2021-01-06
2022-01-06,Thursday,5,6,6,2022-01-02,N,2022,1,January,1,2022,1,1,P01,1,1,5,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,5,5,5,2021-01-07
2022-01-07,Friday,6,7,7,2022-01-02,N,2022,1,January,1,2022,1,1,P01,1,1,6,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,6,6,6,2021-01-08
2022-01-08,Saturday,7,8,8,2022-01-02,Y,2022,1,January,1,2022,1,1,P01,1,1,7,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,7,7,7,2021-01-09
2022-01-09,Sunday,1,9,9,2022-01-09,Y,2022,1,January,1,2022,1,1,P01,2,2,8,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,8,8,8,2021-01-10
2022-01-10,Monday,2,10,10,2022-01-09,N,2022,1,January,1,2022,1,1,P01,2,2,9,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,9,9,9,2021-01-11
2022-01-11,Tuesday,3,11,11,2022-01-09,N,2022,1,January,1,2022,1,1,P01,2,2,10,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,10,10,10,2021-01-12
2022-01-12,Wednesday,4,12,12,2022-01-09,N,2022,1,January,1,2022,1,1,P01,2,2,11,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,11,11,11,2021-01-13
2022-01-13,Thursday,5,13,13,2022-01-09,N,2022,1,January,1,2022,1,1,P01,2,2,12,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,12,12,12,2021-01-14
2022-01-14,Friday,6,14,14,2022-01-09,N,2022,1,January,1,2022,1,1,P01,2,2,13,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,13,13,13,2021-01-15
2022-01-15,Saturday,7,15,15,2022-01-09,Y,2022,1,January,1,2022,1,1,P01,2,2,14,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,14,14,14,2021-01-16
2022-01-16,Sunday,1,16,16,2022-01-16,Y,2022,1,January,1,2022,1,1,P01,3,3,15,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,15,15,15,2021-01-17
2022-01-17,Monday,2,17,17,2022-01-16,N,2022,1,January,1,2022,1,1,P01,3,3,16,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,16,16,16,2021-01-18
2022-01-18,Tuesday,3,18,18,2022-01-16,N,2022,1,January,1,2022,1,1,P01,3,3,17,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,17,17,17,2021-01-19
2022-01-19,Wednesday,4,19,19,2022-01-16,N,2022,1,January,1,2022,1,1,P01,3,3,18,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,18,18,18,2021-01-20
2022-01-20,Thursday,5,20,20,2022-01-16,N,2022,1,January,1,2022,1,1,P01,3,3,19,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,19,19,19,2021-01-21
2022-01-21,Friday,6,21,21,2022-01-16,N,2022,1,January,1,2022,1,1,P01,3,3,20,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,20,20,20,2021-01-22
2022-01-22,Saturday,7,22,22,2022-01-16,Y,2022,1,January,1,2022,1,1,P01,3,3,21,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,21,21,21,2021-01-23
2022-01-23,Sunday,1,23,23,2022-01-23,Y,2022,1,January,1,2022,1,1,P01,4,4,22,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,22,22,22,2021-01-24
2022-01-24,Monday,2,24,24,2022-01-23,N,2022,1,January,1,2022,1,1,P01,4,4,23,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,23,23,23,2021-01-25
2022-01-25,Tuesday,3,25,25,2022-01-23,N,2022,1,January,1,2022,1,1,P01,4,4,24,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,24,24,24,2021-01-26
2022-01-26,Wednesday,4,26,26,2022-01-23,N,2022,1,January,1,2022,1,1,P01,4,4,25,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,25,25,25,2021-01-27
2022-01-27,Thursday,5,27,27,2022-01-23,N,2022,1,January,1,2022,1,1,P01,4,4,26,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,26,26,26,2021-01-28
2022-01-28,Friday,6,28,28,2022-01-23,N,2022,1,January,1,2022,1,1,P01,4,4,27,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,27,27,27,2021-01-29
2022-01-29,Saturday,7,29,29,2022-01-23,Y,2022,1,January,1,2022,1,1,P01,4,4,28,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-02,2022-01-29,2022-01-02,2022-07-02,28,28,28,2021-01-30
2022-01-30,Sunday,1,30,30,2022-01-30,Y,2022,1,January,1,2022,1,2,P02,5,1,29,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,29,1,29,2021-01-31
2022-01-31,Monday,2,31,31,2022-01-30,N,2022,1,January,1,2022,1,2,P02,5,1,30,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,30,2,30,2021-02-01
2022-02-01,Tuesday,3,1,32,2022-01-30,N,2022,2,February,1,2022,1,2,P02,5,1,31,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,31,3,31,2021-02-02
2022-02-02,Wednesday,4,2,33,2022-01-30,N,2022,2,February,1,2022,1,2,P02,5,1,32,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,32,4,32,2021-02-03
2022-02-03,Thursday,5,3,34,2022-01-30,N,2022,2,February,1,2022,1,2,P02,5,1,33,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,33,5,33,2021-02-04
2022-02-04,Friday,6,4,35,2022-01-30,N,2022,2,February,1,2022,1,2,P02,5,1,34,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,34,6,34,2021-02-05
2022-02-05,Saturday,7,5,36,2022-01-30,Y,2022,2,February,1,2022,1,2,P02,5,1,35,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,35,7,35,2021-02-06
2022-02-06,Sunday,1,6,37,2022-02-06,Y,2022,2,February,1,2022,1,2,P02,6,2,36,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,36,8,36,2021-02-07
2022-02-07,Monday,2,7,38,2022-02-06,N,2022,2,February,1,2022,1,2,P02,6,2,37,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,37,9,37,2021-02-08
2022-02-08,Tuesday,3,8,39,2022-02-06,N,2022,2,February,1,2022,1,2,P02,6,2,38,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,38,10,38,2021-02-09
2022-02-09,Wednesday,4,9,40,2022-02-06,N,2022,2,February,1,2022,1,2,P02,6,2,39,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,39,11,39,2021-02-10
2022-02-10,Thursday,5,10,41,2022-02-06,N,2022,2,February,1,2022,1,2,P02,6,2,40,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,40,12,40,2021-02-11
2022-02-11,Friday,6,11,42,2022-02-06,N,2022,2,February,1,2022,1,2,P02,6,2,41,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,41,13,41,2021-02-12
2022-02-12,Saturday,7,12,43,2022-02-06,Y,2022,2,February,1,2022,1,2,P02,6,2,42,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,42,14,42,2021-02-13
2022-02-13,Sunday,1,13,44,2022-02-13,Y,2022,2,February,1,2022,1,2,P02,7,3,43,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,43,15,43,2021-02-14
2022-02-14,Monday,2,14,45,2022-02-13,N,2022,2,February,1,2022,1,2,P02,7,3,44,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,44,16,44,2021-02-15
2022-02-15,Tuesday,3,15,46,2022-02-13,N,2022,2,February,1,2022,1,2,P02,7,3,45,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,45,17,45,2021-02-16
2022-02-16,Wednesday,4,16,47,2022-02-13,N,2022,2,February,1,2022,1,2,P02,7,3,46,N,H1,2022-01-02,2022-12-31,2022-01-02,2022-04-02,2022-01-30,2022-03-05,2022-01-02,2022-07-02,46,18,46,2021-02-17
