Edition,Rank,Artist,Song,songid,Released
2010,341,Norman Greenbaum,Spirit in the Sky,Spirit in the SkyNorman Greenbaum,1970
2010,342,The Velvet Underground,Sweet Jane,Sweet JaneThe Velvet Underground,1970
2010,343,The Rolling Stones,Wild Horses,Wild HorsesThe Rolling Stones,1971
2010,344,Michael Jackson,Beat It,Beat ItMichael Jackson,1982
2010,345,U2,Beautiful Day,Beautiful DayU2,2000
2010,346,Aerosmith,Walk This Way,Walk This WayAerosmith,1976
2010,347,Paul McCartney and Wings,Maybe I'm Amazed,Maybe I'm AmazedPaul McCartney and Wings,1970
2010,348,The Supremes,You Keep Me Hanging On,You Keep Me Hanging OnThe Supremes,1966
2010,349,The Who,Baba O'Riley,Baba O'RileyThe Who,1971
2010,350,Jimmy Cliff,The Harder They Come,The Harder They ComeJimmy Cliff,1975
2010,351,Dion,Runaround Sue,Runaround SueDion,1961
2010,352,Lavern Baker,Jim Dandy,Jim DandyLavern Baker,1956
2010,353,Big Brother and the Holding Company,Piece of My Heart,Piece of My HeartBig Brother and the Holding Company,1968
2010,354,Ritchie Valens,La Bamba,La BambaRitchie Valens,1958
2010,355,2Pac,California Love,California Love2Pac,1996
2010,356,Elton John,Candle in the Wind,Candle in the WindElton John,1973
2010,357,The Isley Brothers,That Lady (Part 1 and 2),That Lady (Part 1 and 2)The Isley Brothers,1973
2010,358,Ben E. King,Spanish Harlem,Spanish HarlemBen E. King,1960
2010,359,Little Eva,The Loco-Motion,The Loco-MotionLittle Eva,1962
2010,360,The Platters,The Great Pretender,The Great PretenderThe Platters,1955
2010,361,Elvis Presley,All Shook Up,All Shook UpElvis Presley,1957
2010,362,Eric Clapton,Tears in Heaven,Tears in HeavenEric Clapton,1992
2010,363,Elvis Costello,Watching the Detectives,Watching the DetectivesElvis Costello,1977
2010,364,Creedence Clearwater Revival,Bad Moon Rising,Bad Moon RisingCreedence Clearwater Revival,1969
2010,365,Eurythmics,Sweet Dreams (Are Made of This),Sweet Dreams (Are Made of This)Eurythmics,1983
2010,366,Jimi Hendrix,Little Wing,Little WingJimi Hendrix,1968
2010,367,Martha Reeves & The Vandellas,Nowhere to Run,Nowhere to RunMartha Reeves & The Vandellas,1965
2010,368,Muddy Waters,Got My Mojo Working,Got My Mojo WorkingMuddy Waters,1957
2010,369,Roberta Flack,Killing Me Softly With His Song,Killing Me Softly With His SongRoberta Flack,1973
2010,370,The Beatles,All You Need Is Love,All You Need Is LoveThe Beatles,1967
2010,371,The Clash,Complete Control,Complete ControlThe Clash,1979
2010,372,The Box Tops,The Letter,The LetterThe Box Tops,1967
2010,373,Bob Dylan,Highway 61 Revisited,Highway 61 RevisitedBob Dylan,1965
2010,374,The Righteous Brothers,Unchained Melody,Unchained MelodyThe Righteous Brothers,1965
2010,375,Bee Gees,How Deep Is Your Love,How Deep Is Your LoveBee Gees,1977
2010,376,Cream,White Room,White RoomCream,1968
2010,377,Depeche Mode,Personal Jesus,Personal JesusDepeche Mode,1989
2010,378,Bo Diddley,I'm a Man,I'm a ManBo Diddley,1955
2010,379,Jimi Hendrix,The Wind Cries Mary,The Wind Cries MaryJimi Hendrix,1967
2010,380,The Who,I Can't Explain,I Can't ExplainThe Who,1965
2010,381,Television,Marquee Moon,Marquee MoonTelevision,1977
2010,382,Sam Cooke,Wonderful World,Wonderful WorldSam Cooke,1960
2010,383,Chuck Berry,Brown Eyed Handsome Man,Brown Eyed Handsome ManChuck Berry,1956
2010,384,Pink Floyd,Another Brick in the Wall Part 2,Another Brick in the Wall Part 2Pink Floyd,1979
2010,385,Radiohead,Fake Plastic Trees,Fake Plastic TreesRadiohead,1995
2010,386,Yeah Yeah Yeahs,Maps,MapsYeah Yeah Yeahs,2004
2010,387,Ray Charles,Hit the Road Jack,Hit the Road JackRay Charles,1961
2010,388,U2,Pride (In the Name of Love),Pride (In the Name of Love)U2,1984
2010,389,R.E.M.,Radio Free Europe,Radio Free EuropeR.E.M.,1983
2010,390,Elton John,Goodbye Yellow Brick Road,Goodbye Yellow Brick RoadElton John,1973
2010,391,Aaron Neville,Tell It Like It Is,Tell It Like It IsAaron Neville,1966
2010,392,The Verve,Bitter Sweet Symphony,Bitter Sweet SymphonyThe Verve,1997
2010,393,The Allman Brothers Band,Whipping Post,Whipping PostThe Allman Brothers Band,1969
2010,394,The Beatles,Ticket to Ride,Ticket to RideThe Beatles,1965
2010,395,"Crosby, Stills & Nash",Ohio,"OhioCrosby, Stills & Nash",1970
2010,396,Eric B. and Rakim,Know You Got Soul,Know You Got SoulEric B. and Rakim,1987
2010,397,Elton John,Tiny Dancer,Tiny DancerElton John,1971
2010,398,The Police,Roxanne,RoxanneThe Police,1979
2010,399,The Temptations,Just My Imagination (Running Away With Me),Just My Imagination (Running Away With Me)The Temptations,1971
2010,400,Four Tops,Baby I Need Your Lovin',Baby I Need Your Lovin'Four Tops,1964
2010,401,The Lovin' Spoonful,Summer in the City,Summer in the CityThe Lovin' Spoonful,1966
2010,402,The Five Stairsteps,O-O-H Child,O-O-H ChildThe Five Stairsteps,1970
2010,403,Elvis Presley,Can't Help Falling in Love,Can't Help Falling in LoveElvis Presley,1961
2010,404,The Shangri-Las,Remember (Walking in the Sand),Remember (Walking in the Sand)The Shangri-Las,1964
2010,405,Blue Öyster Cult,(Don't Fear) the Reaper,(Don't Fear) the ReaperBlue Öyster Cult,1976
2010,406,Big Star,Thirteen,ThirteenBig Star,1972
2010,407,Lynyrd Skynyrd,Sweet Home Alabama,Sweet Home AlabamaLynyrd Skynyrd,1974
2010,408,Metallica,Enter Sandman,Enter SandmanMetallica,1991
2010,409,The Shirelles,Tonight's the Night,Tonight's the NightThe Shirelles,1960
2010,410,Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin),Thank You (Falettinme Be Mice Elf Agin)Sly & The Family Stone,1970
2010,411,Eddie Cochran,C'mon Everybody,C'mon EverybodyEddie Cochran,1958
2010,412,Rihanna feat. Jay-Z,Umbrella,UmbrellaRihanna feat. Jay-Z,2007
2010,413,Bob Dylan,Visions of Johanna,Visions of JohannaBob Dylan,1966
2010,414,Carpenters,We've Only Just Begun,We've Only Just BegunCarpenters,1970
2010,415,Nirvana,In Bloom,In BloomNirvana,1991
2010,416,Aerosmith,Sweet Emotion,Sweet EmotionAerosmith,1975
2010,417,Pixies,Monkey Gone to Heaven,Monkey Gone to HeavenPixies,1989
2010,418,Donna Summer,I Feel Love,I Feel LoveDonna Summer,1977
2010,419,Bobbie Gentry,Ode to Billie Joe,Ode to Billie JoeBobbie Gentry,1967
2010,420,Little Richard,The Girl Can't Help It,The Girl Can't Help ItLittle Richard,1957
2010,421,The Coasters,Young Blood,Young BloodThe Coasters,1957
2010,422,Four Tops,I Can't Help Myself,I Can't Help MyselfFour Tops,1965
2010,423,Don Henley,The Boys of Summer,The Boys of SummerDon Henley,1984
2010,424,The Notorious B.I.G.,Juicy,JuicyThe Notorious B.I.G.,1994
2010,425,N.W.A,Fuck tha Police,Fuck tha PoliceN.W.A,1989
2010,426,"Crosby, Stills & Nash",Suite: Judy Blue Eyes,"Suite: Judy Blue EyesCrosby, Stills & Nash",1969
2010,427,Dr. Dre,Nuthin' but a 'G' Thang,Nuthin' but a 'G' ThangDr. Dre,1993
2010,428,The Isley Brothers,It's Your Thing,It's Your ThingThe Isley Brothers,1969
2010,429,Billy Joel,Piano Man,Piano ManBilly Joel,1973
2010,430,Elvis Presley,Blue Suede Shoes,Blue Suede ShoesElvis Presley,1956
2010,431,The Smiths,"William, It Was Really Nothing","William, It Was Really NothingThe Smiths",1984
2010,432,Green Day,American Idiot,American IdiotGreen Day,2004
2010,433,The Rolling Stones,Tumbling Dice,Tumbling DiceThe Rolling Stones,1972
2010,434,Deep Purple,Smoke on the Water,Smoke on the WaterDeep Purple,1973
2010,435,U2,New Year's Day,New Year's DayU2,1983
2010,436,Solomon Burke,Everybody Needs Somebody to Love,Everybody Needs Somebody to LoveSolomon Burke,1964
2010,437,The Clash,(White Man) in Hammersmith Palais,(White Man) in Hammersmith PalaisThe Clash,1979
2010,438,Fats Domino,Ain't It a Shame,Ain't It a ShameFats Domino,1955
2010,439,Gladys Knight and the Pips,Midnight Train to Georgia,Midnight Train to GeorgiaGladys Knight and the Pips,1973
2010,440,Led Zeppelin,Ramble On,Ramble OnLed Zeppelin,1969
2010,441,Wilson Pickett,Mustang Sally,Mustang SallyWilson Pickett,1966
2010,442,Love,Alone Again Or,Alone Again OrLove,1968
2010,443,The Rolling Stones,Beast of Burden,Beast of BurdenThe Rolling Stones,1978
2010,444,Elvis Presley,Love Me Tender,Love Me TenderElvis Presley,1956
2010,445,The Stooges,I Wanna Be Your Dog,I Wanna Be Your DogThe Stooges,1969
2010,446,Salt 'N' Pepa,Push It,Push ItSalt 'N' Pepa,1987
2010,447,John Cougar Mellencamp,Pink Houses,Pink HousesJohn Cougar Mellencamp,1983
2010,448,50 Cent,In Da Club,In Da Club50 Cent,2002
2010,449,The Dell-Vikings,Come Go With Me,Come Go With MeThe Dell-Vikings,1957
2010,450,Bob Marley and the Wailers,I Shot the Sheriff,I Shot the SheriffBob Marley and the Wailers,1973
2010,451,Sonny & Cher,I Got U Babe,I Got U BabeSonny & Cher,1965
2010,452,Nirvana,Come as You Are,Come as You AreNirvana,1991
2010,453,Toots & The Maytals,Pressure Drop,Pressure DropToots & The Maytals,1973
2010,454,The Shangri-Las,Leader of the Pack,Leader of the PackThe Shangri-Las,1964
2010,455,The Velvet Underground,Heroin,HeroinThe Velvet Underground,1967
2010,456,The Beatles,Penny Lane,Penny LaneThe Beatles,1967
2010,457,Chubby Checker,The Twist,The TwistChubby Checker,1960
2010,458,Sam Cooke,Cupid,CupidSam Cooke,1961
2010,459,Guns N' Roses,Paradise City,Paradise CityGuns N' Roses,1987
2010,460,George Harrison,My Sweet Lord,My Sweet LordGeorge Harrison,1970
2010,461,Ramones,Sheena Is a Punk Rocker,Sheena Is a Punk RockerRamones,1977
2010,462,Nirvana,All Apologies,All ApologiesNirvana,1993
2010,463,Sam & Dave,Soul Man,Soul ManSam & Dave,1967
2010,464,Prince,Kiss,KissPrince,1986
2010,465,Muddy Waters,Rollin' Stone,Rollin' StoneMuddy Waters,1948
2010,466,Missy Elliott,Get Ur Freak On,Get Ur Freak OnMissy Elliott,2001
2010,467,Jay-Z Featuring UGK,Big Pimpin',Big Pimpin'Jay-Z Featuring UGK,1999
2010,468,The Staple Singers,Respect Yourself,Respect YourselfThe Staple Singers,1971
2010,469,The Beatles,Rain,RainThe Beatles,1966
2010,470,Four Tops,Standing in the Shadows of Love,Standing in the Shadows of LoveFour Tops,1966
2010,471,Cheap Trick,Surrender,SurrenderCheap Trick,1978
2010,472,Del Shannon,Runaway,RunawayDel Shannon,1961
2010,473,Guns N' Roses,Welcome to the Jungle,Welcome to the JungleGuns N' Roses,1987
2010,474,Van Morrison,Into the Mystic,Into the MysticVan Morrison,1970
2010,475,The Supremes,Where Did Our Love Go,Where Did Our Love GoThe Supremes,1964
2010,476,Aretha Franklin,Do Right Woman — Do Right Man,Do Right Woman — Do Right ManAretha Franklin,1967
2010,477,The Smiths,How Soon Is Now?,How Soon Is Now?The Smiths,1985
2010,478,The Strokes,Last Nite,Last NiteThe Strokes,2001
2010,479,Foreigner,I Want to Know What Love Is,I Want to Know What Love IsForeigner,1984
2010,480,Beastie Boys,Sabotage,SabotageBeastie Boys,1994
2010,481,Rick James,Super Freak,Super FreakRick James,1981
2010,482,Kelly Clarkson,Since U Been Gone,Since U Been GoneKelly Clarkson,2004
2010,483,Jefferson Airplane,White Rabbit,White RabbitJefferson Airplane,1967
2010,484,Justin Timberlake,Cry Me a River,Cry Me a RiverJustin Timberlake,2002
2010,485,LaBelle,Lady Marmalade,Lady MarmaladeLaBelle,1975
2010,486,David Bowie,Young Americans,Young AmericansDavid Bowie,1975
2010,487,Alice Cooper,I'm Eighteen,I'm EighteenAlice Cooper,1971
2010,488,The Cure,Just Like Heaven,Just Like HeavenThe Cure,1987
2010,489,The Drifters,Under the Boardwalk,Under the BoardwalkThe Drifters,1964
2010,490,Coldplay,Clocks,ClocksColdplay,2002
2010,491,Joan Jett & The Blackhearts,I Love Rock 'N Roll,I Love Rock 'N RollJoan Jett & The Blackhearts,1982
2010,492,Gloria Gaynor,I Will Survive,I Will SurviveGloria Gaynor,1978
2010,493,MGMT,Time to Pretend,Time to PretendMGMT,2008
2010,494,R. Kelly,Ignition (Remix),Ignition (Remix)R. Kelly,2002
2010,495,The Rolling Stones,Brown Sugar,Brown SugarThe Rolling Stones,1971
2010,496,Jackson Browne,Running on Empty,Running on EmptyJackson Browne,1977
2010,497,Bruce Springsteen,The Rising,The RisingBruce Springsteen,2002
2010,498,The Rolling Stones,Miss You,Miss YouThe Rolling Stones,1978
2010,499,Weezer,Buddy Holly,Buddy HollyWeezer,1994
2010,500,Smokey Robinson and the Miracles,Shop Around,Shop AroundSmokey Robinson and the Miracles,1960
